"","country","date","update","cases","new_cases","Birth","new_Birth","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","Birthper100k","newBirthper100k","days_since_case100","days_since_death10"
"1752","Botswana",2020-05-22,122,30,1,1,0,19,0,10,1.3,0,0.4,0,0,0,0
"1799","Brazil",2020-05-22,122,330890,20803,21048,1001,135430,9470,174412,155.7,9.8,82.1,9.9,0.5,70,63
"1892","Brunei",2020-05-22,122,141,0,1,0,136,0,4,32.3,0,0.9,0.2,0,59,0
"1925","Bulgaria",2020-05-22,122,2372,41,125,5,769,42,1478,34.1,0.6,21.3,1.8,0.1,63,51
"2072","Burkina Faso",2020-05-22,122,814,2,52,0,672,3,90,3.9,0,0.4,0.2,0,59,55
"2081","Burma",2020-05-22,122,199,0,6,0,116,8,77,0.4,0,0.1,0,0,33,0
"2174","Burundi",2020-05-22,122,42,0,1,0,20,0,21,0.4,0,0.2,0,0,0,0
"2198","Cambodia",2020-05-22,122,123,0,0,0,122,0,1,0.7,0,0,0,0,54,0
"2308","Cameroon",2020-05-22,122,4400,112,159,3,1822,14,2419,16.6,0.4,9.1,0.6,0,54,44
"2488","Canada",2020-05-22,122,83947,1205,6360,93,42608,877,34979,222.4,3.2,92.7,16.9,0.2,72,63
"2499","Cape Verde",2020-05-22,122,362,6,3,0,95,0,264,65.1,1.1,47.5,0.5,0,26,0
"2619","Central African Republic",2020-05-22,122,479,43,0,0,18,0,461,9.9,0.9,9.5,0,0,14,0
"2664","Chad",2020-05-22,122,611,23,58,0,196,10,357,3.7,0.1,2.2,0.4,0,20,20
"2746","Chile",2020-05-22,122,61857,4276,630,41,25342,1350,35885,323.6,22.4,187.7,3.3,0.2,67,52
"2814","Colombia",2020-05-22,122,19131,801,682,30,4575,144,13874,37.6,1.6,27.3,1.3,0.1,64,54
"2874","Comoros",2020-05-22,122,78,44,1,0,18,10,59,9,5.1,6.8,0.1,0,0,0
"2880","Costa Rica",2020-05-22,122,911,8,10,0,600,8,301,17.9,0.2,5.9,0.2,0,62,6
"2965","Cote d'Ivoire",2020-05-22,122,2341,40,29,0,1146,46,1166,8.9,0.2,4.4,0.1,0,56,31
"3051","Croatia",2020-05-22,122,2243,6,99,2,2011,33,133,54.6,0.1,3.2,2.4,0,64,48
"3133","Cuba",2020-05-22,122,1916,8,81,1,1631,28,204,16.9,0.1,1.8,0.7,0,55,45
"3222","Cyprus",2020-05-22,122,927,4,17,0,561,0,349,76.8,0.3,28.9,1.4,0,60,46
"3335","Czech Republic",2020-05-22,122,8813,59,312,6,6025,99,2476,82.3,0.6,23.1,2.9,0.1,70,55
"3387","Democratic Republic of the Congo",2020-05-22,122,1945,110,63,2,312,9,1570,2.2,0.1,1.8,0.1,0,51,50
"3425","Denmark",2020-05-22,122,11428,48,561,0,9962,121,905,197.3,0.8,15.6,9.7,0,73,62
"3520","Diamond Princess Cruise Ship",2020-05-22,122,712,0,13,0,651,0,48,NA,NA,NA,NA,NA,102,59
"3614","Djibouti",2020-05-22,122,2270,223,10,0,1064,9,1196,229.8,22.6,121.1,1,0,44,1
"3692","Dominica",2020-05-22,122,16,0,0,0,16,0,0,22.2,0,0,0,0,0,0
"3777","Dominican Republic",2020-05-22,122,13989,332,456,8,7572,206,5961,129,3.1,55,4.2,0.1,62,58
"3828","Ecuador",2020-05-22,122,35828,522,3056,117,3557,0,29215,203.1,3,165.6,17.3,0.7,65,61
"3977","Egypt",2020-05-22,122,15786,783,707,11,4374,157,10705,15.4,0.8,10.5,0.7,0,69,62
"4045","El Salvador",2020-05-22,122,1725,85,33,0,570,26,1122,26.6,1.3,17.3,0.5,0,43,22
"4107","Equatorial Guinea",2020-05-22,122,960,57,11,1,165,143,784,68.4,4.1,55.9,0.8,0.1,28,1
"4196","Eritrea",2020-05-22,122,39,0,0,0,39,0,0,1.1,0,0,0,0,0,0
"4213","Estonia",2020-05-22,122,1807,7,64,0,1508,20,235,136.2,0.5,17.7,4.8,0,69,50
"4316","Eswatini",2020-05-22,122,225,5,2,0,119,7,104,19.4,0.4,9,0.2,0,22,0
"4363","Ethiopia",2020-05-22,122,433,34,5,0,128,5,300,0.4,0,0.3,0,0,34,0
"4484","Fiji",2020-05-22,122,18,0,0,0,15,0,3,2,0,0.3,0,0,0,0
"4557","Finland",2020-05-22,122,6537,44,306,0,4800,0,1431,118,0.8,25.8,5.5,0,70,54
"4702","France",2020-05-22,122,182015,64,28218,0,63986,10,89811,278.8,0.1,137.6,43.2,0,83,76
"4773","Gabon",2020-05-22,122,1728,161,12,0,402,37,1314,77.6,7.2,59,0.5,0,35,8
"4876","Georgia",2020-05-22,122,723,2,12,0,495,10,216,18.1,0.1,5.4,0.3,0,53,14
